all_players_and_stats_2024-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RK,PICK,YEAR,HEIGHT,NAME,,TEAM,CONF,G,ROLE,MIN%,PRPG!,D-PRPG,BPM,OBPM,DBPM,ORTG,DRTG,USG,EFG,TS,OR,DR,AST,TO,A/TO,BLK,STL,FTR,FC/40,DUNKS,DUNKS %,CLOSE 2,CLOSE 2 %,FAR 2,FAR 2 %,FT,FT %,2P,2P %,3P/100,3P,3P %
1,-,Jr,6-4,Bennett Stirtz,0,Drake,MVC,33,Scoring PG,98.8,6.4,4.7,10.0,6.9,3.0,126.4,97.7,26.1,56.2,60.4,2.2,14.0,34.0,13.1,2.9,1.0,3.3,38.6,1.5,12-12,1.000,106-147,0.721,56-150,0.373,138-174,0.793,162-297,0.545,7.7,61-154,0.396
2,-,Jr,6-2,Bruce Thornton,91,Ohio St.,B10,32,Scoring PG,88.4,6.3,3.8,8.7,6.9,1.8,130.0,101.0,22.0,58.0,63.3,1.2,10.0,25.1,10.8,3.1,0.4,1.8,41.8,1.7,1-1,1.000,41-63,0.651,87-171,0.509,133-156,0.853,128-234,0.547,7.0,59-139,0.424
3,34,Sr,7-1,Ryan Kalkbrenner,76.4,Creighton,BE,35,C,83.1,6.1,4.6,11.1,7.2,4.0,129.2,93.3,22.3,67.8,68.4,8.8,18.4,10.0,11.2,1.1,7.3,0.9,38.6,1.6,107-115,0.930,221-278,0.795,29-76,0.382,109-160,0.681,250-354,0.706,3.0,21-61,0.344
4,-,Sr,6-8,Eric Dixon,85.8,Villanova,BE,35,Wing F,84.3,6.1,3.3,7.3,7.7,-0.4,116.7,104.4,32.9,53.7,58.3,5.2,12.6,13.1,11.8,0.9,1.1,1.5,35.8,2.3,3-4,0.750,115-190,0.605,51-154,0.331,174-214,0.813,166-344,0.483,13.1,103-253,0.407
5,1,Fr,6-9,Cooper Flagg,100,Duke,ACC,37,Stretch 4,72.8,6.0,5.1,15.0,9.2,5.8,123.0,83.4,30.8,53.3,59.3,5.5,21.2,26.8,13.5,2.0,4.9,2.8,42.9,2.5,36-39,0.923,127-210,0.605,60-152,0.395,179-213,0.840,187-362,0.517,7.2,52-135,0.385
6,-,Jr,6-9,Trey Kaufman-Renn,91.8,Purdue,B10,36,Wing F,76.9,5.7,3.5,7.9,6.8,1.1,118.1,98.9,31.1,59.8,61.2,11.0,15.4,16.8,13.9,1.0,1.2,1.4,42.8,3.8,8-8,1.000,155-211,0.735,134-273,0.491,136-210,0.648,289-484,0.597,0.4,3-7,0.429
7,35,Sr,6-10,Johni Broome,0,Auburn,SEC,36,PF/C,71.4,5.7,4.9,12.9,8.9,4.0,118.5,85.3,30.6,53.4,54.7,14.1,26.0,19.5,9.9,1.8,7.5,1.8,39.0,2.8,29-31,0.935,169-267,0.633,69-159,0.434,118-201,0.587,238-426,0.559,4.8,25-90,0.278
8,-,Jr,6-0,Braden Smith,61.2,Purdue,B10,36,Pure PG,92.6,5.7,4.6,9.4,6.5,2.9,116.1,95.6,26.6,51.6,54.8,1.4,13.5,44.1,18.6,2.9,0.7,3.5,20.3,1.8,0-0,0.000,48-76,0.632,71-178,0.399,80-96,0.833,119-254,0.469,9.9,83-218,0.381
9,38,Sr,6-4,Kam Jones,67.2,Marquette,BE,34,Scoring PG,83.9,5.7,4.1,9.3,6.8,2.5,118.1,96.3,29.2,54.1,55.1,2.1,13.6,38.1,11.1,3.2,0.9,2.4,16.0,2.6,0-0,0.000,157-245,0.641,45-100,0.450,57-88,0.648,202-345,0.586,10.6,64-206,0.311
10,-,Sr,6-8,Tyson Degenhart,0,Boise St.,MWC,36,Wing F,84.5,5.6,3.6,7.6,6.6,1.0,126.8,100.9,23.8,58.4,63.3,7.4,15.3,10.3,10.7,1.1,0.9,1.1,50.5,2.7,6-6,1.000,154-223,0.691,22-61,0.361,170-214,0.794,168-272,0.618,7.6,53-152,0.349
11,53,Sr,6-5,John Tonje,0,Wisconsin,B10,37,Wing G,77.5,5.6,3.8,10.0,8.2,1.8,123.8,96.9,26.8,56.2,64.7,3.0,15.6,11.9,12.9,1.0,0.8,1.4,57.9,2.2,17-20,0.850,85-137,0.620,34-83,0.410,231-254,0.909,119-220,0.541,11.1,85-219,0.388
12,18,Sr,6-3,Walter Clayton Jr.,0,Florida,SEC,39,Scoring PG,79.4,5.4,4.3,9.9,7.3,2.6,122.2,93.7,24.8,56.0,60.2,1.2,10.3,23.2,16.9,1.7,1.6,2.1,27.5,2.3,6-6,1.000,88-135,0.652,38-96,0.396,126-144,0.875,118-221,0.534,13.5,117-303,0.386
13,48,Sr,6-2,Javon Small,0,West Virginia,B12,32,Scoring PG,88.9,5.4,4.8,9.7,6.5,3.2,113.0,93.3,28.7,51.3,57.6,1.5,11.6,35.1,16.1,2.1,1.1,2.6,37.9,1.7,15-16,0.938,69-111,0.622,31-92,0.337,146-166,0.880,100-203,0.493,12.5,83-235,0.353
14,-,Sr,6-6,Aniwaniwa Tait-Jones,0,UC San Diego,BW,33,Wing G,76.4,5.3,3.8,9.5,7.0,2.6,124.9,96.2,30.5,59.0,64.7,5.6,15.7,26.2,13.4,1.8,2.0,2.3,79.8,2.9,8-10,0.800,177-262,0.676,15-53,0.283,218-288,0.757,192-315,0.610,2.7,14-46,0.304
15,-,Sr,6-1,LJ Cryer,82.4,Houston,B12,40,Combo G,80.4,5.3,4.5,10.3,7.3,3.0,123.9,91.7,22.3,53.4,57.1,1.5,7.4,12.2,9.5,1.9,0.4,1.8,21.0,1.7,0-0,0.000,16-32,0.500,67-179,0.374,94-105,0.895,83-211,0.393,14.2,123-290,0.424
16,-,Sr,6-2,Chance McMillian,65.6,Texas Tech,B12,31,Wing G,67.6,5.2,3.6,8.5,6.7,1.8,135.2,99.7,16.8,64.6,67.9,3.5,10.8,10.1,11.2,1.8,0.4,1.3,27.2,1.8,4-4,1.000,52-73,0.712,27-50,0.540,69-78,0.885,79-123,0.642,9.7,71-164,0.433
17,4,Fr,6-7,Kon Knueppel,97,Duke,ACC,39,Wing G,76.2,5.2,4.2,9.5,6.5,3.0,130.7,91.8,20.9,59.0,64.2,4.3,10.3,15.7,12.9,2.0,0.6,2.0,33.9,2.8,2-5,0.400,77-122,0.631,20-49,0.408,117-128,0.914,97-171,0.567,10.5,84-207,0.406
18,-,Sr,6-7,Norchad Omier,0,Baylor,B12,34,PF/C,78.2,5.2,4.1,7.8,5.9,1.9,119.3,93.7,24.9,58.5,62.1,14.5,25.5,10.2,18.0,0.6,3.5,2.3,45.5,4.4,21-22,0.955,112-157,0.713,64-126,0.508,120-160,0.750,176-283,0.622,3.9,20-69,0.290
19,24,Sr,6-6,Nique Clifford,79,Colorado St.,MWC,36,Wing F,87.6,5.1,4.8,10.3,6.9,3.4,116.6,92.4,27.9,56.5,60.3,5.4,26.0,26.8,15.8,1.7,2.0,2.0,37.3,2.7,21-22,0.955,100-148,0.676,72-157,0.459,139-179,0.777,172-305,0.564,8.3,66-175,0.377
20,-,So,6-9,JT Toppin,78,Texas Tech,B12,33,PF/C,59.7,5.1,4.0,10.6,8.2,2.5,120.0,88.8,30.4,57.4,59.2,14.0,26.1,10.1,11.0,0.8,5.8,1.8,30.6,3.4,20-21,0.952,139-205,0.678,89-184,0.484,92-136,0.676,228-389,0.586,3.7,18-55,0.327
