Table 1
Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Deni Avdija,25,POR,SF,40,40,1414,20.8,0.612,0.382,0.584,3.0,18.8,10.8,31.7,1.2,1.5,15.5,28.9,3.3,1.2,4.5,0.154,4.3,0.3,4.5,2.3,,avdijde01
2,Tyrese Maxey,25,PHI,PG,35,35,1391,23.3,0.607,0.406,0.287,0.6,12.0,6.2,29.8,2.3,2.1,9.4,29.6,3.8,1.7,5.5,0.191,6.0,1.1,7.1,3.1,,maxeyty01
3,Dyson Daniels,22,ATL,SG,40,40,1368,13.9,0.523,0.148,0.189,6.8,14.4,10.6,24.2,2.6,1.3,16.4,16.6,0.8,1.7,2.5,0.086,-1.6,1.3,-0.3,0.6,,daniedy01
4,Mikal Bridges,29,NYK,SF,39,39,1361,17.3,0.608,0.451,0.085,3.7,11.2,7.4,17.6,2.3,2.6,7.4,17.0,3.1,1.4,4.4,0.156,2.7,1.3,4.0,2.1,,bridgmi01
5,Toumani Camara,25,POR,PF,40,40,1356,10.2,0.559,0.674,0.172,5.6,10.9,8.2,11.4,1.5,1.2,15.3,16.5,0.5,0.9,1.4,0.049,-1.5,-0.7,-2.2,-0.1,,camarto01
6,Desmond Bane,27,ORL,SG,40,40,1353,15.1,0.561,0.321,0.250,4.1,10.7,7.4,20.5,1.1,1.3,11.5,24.0,1.4,1.2,2.6,0.091,0.2,-0.7,-0.4,0.5,,banede01
7,Julius Randle,31,MIN,PF,40,40,1338,20.3,0.597,0.302,0.421,5.7,17.4,11.7,25.6,1.5,0.4,11.8,26.4,3.2,1.6,4.8,0.173,2.8,0.1,2.9,1.7,,randlju01
8,Scottie Barnes,24,TOR,PF,39,39,1335,19.7,0.584,0.220,0.253,7.2,20.2,13.6,23.5,1.9,4.1,13.5,23.8,1.8,2.2,4.0,0.145,2.1,2.1,4.2,2.1,,barnesc01
9,Amen Thompson,23,HOU,PG,36,36,1327,18.5,0.579,0.146,0.336,8.8,14.7,11.7,20.3,1.8,1.4,13.9,21.1,2.8,1.5,4.3,0.156,1.5,0.5,2.0,1.3,,thompam01
10,Trey Murphy III,25,NOP,SF,37,37,1319,19.1,0.638,0.511,0.239,3.6,15.8,9.5,15.2,2.1,0.6,10.0,21.9,2.9,0.7,3.6,0.132,3.3,-0.9,2.4,1.4,,murphtr02
11,Cooper Flagg,19,DAL,SF,38,38,1313,16.1,0.556,0.226,0.285,3.8,15.5,9.8,18.8,1.7,1.9,11.9,23.5,0.6,1.7,2.3,0.085,-0.4,0.7,0.3,0.7,,flaggco01
12,Jalen Johnson,24,ATL,SF,37,37,1310,22.4,0.615,0.265,0.328,4.4,27.5,15.9,35.3,1.8,1.4,15.3,26.9,2.6,1.8,4.4,0.163,4.0,1.5,5.5,2.5,,johnsja05
13,DeMar DeRozan,36,SAC,PF,39,39,1296,17.7,0.598,0.165,0.379,1.8,9.6,5.6,17.8,2.0,0.7,6.5,21.3,2.7,0.4,3.1,0.115,0.6,-0.3,0.4,0.7,,derozde01
14,Nickeil Alexander-Walker,27,ATL,SG,39,32,1285,15.0,0.580,0.499,0.242,2.0,9.9,5.9,14.5,1.6,1.6,10.5,25.2,0.7,1.1,1.8,0.066,0.3,-1.3,-0.9,0.3,,alexani01
15,Pascal Siakam,31,IND,PF,38,38,1284,18.8,0.560,0.249,0.351,5.1,17.1,10.8,19.9,1.8,1.1,9.4,28.9,1.1,1.2,2.3,0.085,2.1,-0.6,1.4,1.1,,siakapa01
16,Brandon Ingram,28,TOR,SF,38,38,1279,16.0,0.567,0.289,0.265,2.6,17.1,9.8,16.9,1.1,2.2,12.7,27.7,0.2,1.6,1.8,0.068,0.6,-0.4,0.2,0.7,,ingrabr01
17,Keyonte George,22,UTA,PG,37,37,1272,17.9,0.605,0.415,0.415,1.5,11.9,6.6,31.0,1.4,0.8,15.3,27.6,2.0,0.0,2.1,0.077,2.4,-2.2,0.3,0.7,,georgke01
18,Jalen Brunson,29,NYK,PG,36,36,1271,21.9,0.600,0.370,0.290,1.7,8.8,5.2,29.5,1.0,0.2,8.8,31.4,4.0,0.6,4.6,0.172,5.3,-1.9,3.4,1.7,,brunsja01
19,Rudy Gobert,33,MIN,C,40,40,1268,17.7,0.693,0.004,0.567,13.8,25.3,19.7,7.7,0.9,4.6,14.5,12.3,2.9,2.0,4.9,0.186,0.1,0.8,1.0,0.9,,goberru01
20,Immanuel Quickley,26,TOR,PG,39,39,1268,15.5,0.554,0.532,0.247,1.8,12.5,7.1,27.3,1.7,0.4,10.2,21.6,1.7,1.4,3.1,0.117,1.3,0.2,1.5,1.1,,quickim01
21,Miles Bridges,27,CHO,PF,38,38,1268,16.7,0.566,0.449,0.266,3.1,18.5,10.9,17.6,0.8,1.5,7.8,23.8,2.2,0.9,3.1,0.117,1.8,-0.7,1.1,1.0,,bridgmi02
22,Derrick White,31,BOS,SG,37,37,1266,17.7,0.536,0.599,0.181,2.7,11.5,7.2,21.4,2.0,4.6,9.4,24.2,1.9,1.4,3.3,0.126,2.9,0.5,3.5,1.8,,whitede01
23,Shai Gilgeous-Alexander,27,OKC,PG,38,38,1265,31.6,0.667,0.254,0.461,1.5,12.8,7.4,33.3,2.0,2.1,7.5,33.4,6.6,2.4,9.0,0.341,9.2,2.7,12.0,4.4,,gilgesh01
24,Donte DiVincenzo,29,MIN,SG,40,40,1260,14.1,0.581,0.756,0.165,3.6,11.9,7.8,17.5,2.0,1.3,10.1,17.2,1.9,1.5,3.4,0.129,0.8,0.8,1.7,1.2,,divindo01
25,Payton Pritchard,28,BOS,PG,38,38,1244,17.3,0.566,0.539,0.145,3.4,11.8,7.7,22.6,1.3,0.3,7.1,21.1,3.1,0.8,4.0,0.153,2.3,-0.8,1.5,1.1,,pritcpa01
26,Onyeka Okongwu,25,ATL,C,39,28,1243,16.1,0.588,0.415,0.220,6.4,20.7,13.5,15.0,1.7,2.8,11.6,20.6,1.3,1.6,2.9,0.111,-0.2,0.4,0.2,0.7,,okongon01
27,James Harden,36,LAC,PG,35,35,1242,22.3,0.614,0.521,0.503,2.0,13.4,7.9,37.0,1.8,0.9,14.9,30.6,3.3,0.8,4.1,0.157,5.3,-1.1,4.2,1.9,,hardeja01
28,Ryan Rollins,23,MIL,PG,39,34,1241,16.2,0.576,0.430,0.160,2.8,12.9,7.9,26.5,2.3,1.2,13.9,23.3,1.1,1.3,2.4,0.092,0.5,0.0,0.5,0.8,,rolliry01
29,Jamal Murray,28,DEN,PG,35,35,1241,22.1,0.611,0.412,0.233,1.6,12.8,7.5,32.3,1.3,0.7,9.9,28.1,3.6,0.7,4.3,0.167,5.5,-1.8,3.7,1.8,,murraja01
30,Kon Knueppel,20,CHO,SF,38,37,1234,16.3,0.637,0.597,0.201,3.6,14.0,8.9,17.2,1.1,0.6,13.3,22.3,2.2,0.7,3.0,0.116,2.5,-1.1,1.4,1.1,,knuepko01
