"","V2","V4","Corner3 Usage","3s Assisted","Corner 3P%","3PA","Corner3Usage_percentile","Corner3Usage_ranking","Assisted3s_percentile","Assisted3s_ranking","Attempted3s_percentile","Attempted3s_ranking","Corner3_FGPct_percentile","Corner3_FGPct_ranking","Temp"
"1","A.J. Green","MIL",0.261,0.936,0.6,6.8,56,226,55,232,93,38,94,29,"Rate"
"2","A.J. Lawson","TOR",0.5,1,0.5,1.3,89,55,100,1,32,349,88,60,"Rate"
"3","AJ Johnson","WAS",0.167,1,0,0.4,36,328,100,2,15,435,24,389,"Rate"
"4","Aaron Gordon","DEN",0.206,0.786,0.462,4.8,45,283,32,350,80,104,76,124,"Rate"
"5","Aaron Holiday","HOU",0.321,0.944,0.481,3.5,66,175,55,233,66,177,81,99,"Rate"
"6","Aaron Nesmith","IND",0.233,0.95,0.458,7.4,49,260,58,218,96,22,76,125,"Rate"
"7","Aaron Wiggins","OKC",0.29,0.872,0.379,4.8,61,201,41,303,80,105,61,202,"Rate"
"8","Ace Bailey","UTA",0.31,0.933,0.333,4.2,65,182,51,251,72,146,50,258,"Rate"
"9","Adem Bona","PHI",0.8,1,0.25,0.2,97,17,99,3,12,453,38,319,"Rate"
"10","Ajay Mitchell","OKC",0.306,0.794,0.433,3.1,64,183,32,351,61,200,70,155,"Rate"
"11","Al Horford","GSW",0.264,1,0.474,4.5,56,227,99,4,76,121,79,106,"Rate"
"12","Alex Caruso","OKC",0.42,1,0.265,3.4,82,93,99,5,64,183,39,316,"Rate"
"13","Alex Sarr","WAS",0.083,1,0.333,3.1,18,419,99,6,61,201,50,259,"Rate"
"14","Alperen Şengün","HOU",0.095,0.9,0.5,2.4,21,404,46,279,50,257,88,61,"Rate"
"15","Amen Thompson","HOU",0.533,1,0.188,2,90,51,99,7,46,279,30,360,"Rate"
"16","Amir Coffey","MIL",0.667,1,0.125,0.5,94,31,98,8,18,423,26,380,"Rate"
"17","Andre Drummond","PHI",0.737,1,0.429,1.3,96,19,98,9,32,350,70,156,"Rate"
"18","Andre Jackson Jr.","MIL",0.267,0.667,0,1,57,220,22,399,25,385,24,390,"Rate"
"19","Andrew Nembhard","IND",0.053,0.674,0.143,5.1,15,436,22,400,82,90,27,374,"Rate"
"20","Andrew Wiggins","MIA",0.23,0.945,0.419,4.7,49,261,54,234,78,115,68,166,"Rate"
"21","Anfernee Simons","BOS",0.076,0.699,0.467,6.2,18,420,24,391,90,52,79,107,"Rate"
"22","Anthony Black","ORL",0.303,0.82,0.477,4.3,63,191,36,331,74,136,81,100,"Rate"
"23","Anthony Davis","DAL",0.129,0.9,0.5,1.9,28,369,46,280,43,291,88,62,"Rate"
"24","Anthony Edwards","MIN",0.068,0.614,0.4,8.2,17,425,20,413,98,11,65,182,"Rate"
"25","Anthony Gill","WAS",0.5,1,1,0.2,89,56,98,10,12,454,100,1,"Rate"
"26","Antonio Reeves","CHO",0.4,1,0.75,1.7,79,110,98,11,40,308,97,17,"Rate"
"27","Asa Newell","ATL",0.681,1,0.438,1.9,94,29,98,12,43,292,72,143,"Rate"
"28","Ausar Thompson","DET",0.353,1,0.333,0.6,72,145,97,13,19,417,49,260,"Rate"
"29","Austin Reaves","LAL",0.1,0.645,0.471,7.4,21,405,21,407,96,23,79,108,"Rate"
"30","Ayo Dosunmu","CHI",0.411,0.978,0.432,4,80,104,66,177,69,158,69,157,"Rate"
"31","Bam Adebayo","MIA",0.364,0.971,0.333,4.3,74,134,64,187,73,137,49,261,"Rate"
"32","Baylor Scheierman","BOS",0.304,1,0.643,1.6,63,192,97,14,38,318,95,24,"Rate"
"33","Ben Saraf","BRK",0.242,0.889,0,2.8,52,246,44,287,56,224,24,391,"Rate"
"34","Ben Sheppard","IND",0.374,0.962,0.294,4,76,125,61,198,69,159,42,297,"Rate"
"35","Bennedict Mathurin","IND",0.16,0.698,0.522,6.3,34,339,24,392,90,49,89,56,"Rate"
"36","Bilal Coulibaly","WAS",0.386,1,0.37,3.9,77,118,97,15,68,165,56,228,"Rate"
"37","Blake Wesley","POR",0.1,1,0,1.7,21,406,97,16,40,309,24,392,"Rate"
"38","Bobby Portis","MIL",0.292,1,0.55,4,61,202,97,17,69,160,91,45,"Rate"
"39","Bobi Klintman","DET",0.364,1,0,1.8,74,135,96,18,42,300,24,393,"Rate"
"40","Bogdan Bogdanović","LAC",0.125,0.583,0.556,4.5,25,384,18,420,76,122,92,39,"Rate"
"41","Bones Hyland","MIN",0.13,0.714,0.3,3.1,28,370,25,385,61,202,44,290,"Rate"
"42","Bradley Beal","LAC",0.211,1,0.25,3.2,45,284,96,19,62,196,38,320,"Rate"
"43","Branden Carlson","OKC",0.182,1,0.375,1.8,38,319,96,20,41,301,61,203,"Rate"
"44","Brandin Podziemski","GSW",0.195,0.776,0.531,4.8,43,291,32,352,79,106,90,51,"Rate"
"45","Brandon Ingram","TOR",0.233,0.919,0.452,5.1,49,262,49,261,82,91,73,140,"Rate"
"46","Brandon Miller","CHO",0.109,0.886,0.4,8.1,22,400,44,288,97,13,64,183,"Rate"
"47","Brandon Williams","DAL",0.247,0.933,0.1,2.7,55,232,51,252,54,236,25,385,"Rate"
"48","Brice Sensabaugh","UTA",0.308,0.958,0.409,4.6,64,184,61,199,77,118,66,173,"Rate"
"49","Bronny James","LAL",0.278,0.8,0,1,59,209,34,339,25,386,23,394,"Rate"
"50","Brook Lopez","LAC",0.079,1,0.25,4,18,421,96,21,69,161,38,321,"Rate"
"51","Brooks Barnhizer","OKC",0.6,1,0.333,0.3,92,43,96,22,14,442,49,262,"Rate"
"52","Bruce Brown","DEN",0.471,0.941,0.375,1.5,86,72,54,235,35,333,60,204,"Rate"
"53","Bryce McGowens","NOP",0.455,0.938,0.467,1.6,85,76,54,236,38,319,79,109,"Rate"
"54","Bub Carrington","WAS",0.183,0.734,0.346,4.4,38,320,27,377,75,129,53,244,"Rate"
"55","Buddy Hield","GSW",0.211,0.953,0.357,4.3,45,285,57,219,73,138,55,233,"Rate"
"56","CJ McCollum","WAS",0.132,0.655,0.367,7.1,28,371,22,403,95,25,55,229,"Rate"
"57","Cade Cunningham","DET",0.049,0.426,0.222,6.2,15,437,16,431,90,53,34,337,"Rate"
"58","Caleb Houstan","ATL",0.2,1,0.5,1.3,43,292,96,23,32,351,88,63,"Rate"
"59","Caleb Love","POR",0.124,0.886,0.167,5.6,25,385,44,289,85,75,29,365,"Rate"
"60","Caleb Martin","DAL",0.643,1,0.111,0.5,93,38,95,24,18,424,26,382,"Rate"
"61","Cam Christie","LAC",0.3,1,0.444,1.5,62,193,95,25,35,334,72,144,"Rate"
"62","Cam Spencer","MEM",0.098,0.785,0.563,5.1,21,407,31,353,82,92,92,40,"Rate"
"63","Cam Thomas","BRK",0.089,0.55,0.4,5.6,20,413,18,423,85,76,64,184,"Rate"
"64","Cam Whitmore","WAS",0.054,0.625,0,2.7,15,438,20,411,54,237,23,395,"Rate"
"65","Cameron Johnson","DEN",0.302,0.944,0.395,4.5,62,194,54,237,76,123,64,185,"Rate"
"66","Caris LeVert","DET",0.174,0.818,0.467,3.3,36,329,35,332,63,191,79,110,"Rate"
