nba_player_per-game_stats_2025-26
Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Luka Dončić,26,LAL,PG,24,24,36.3,10.4,22.6,0.459,3.4,10.6,0.322,7.0,12.0,0.582,0.535,9.4,11.8,0.798,0.8,7.3,8.2,8.7,1.5,0.6,4.5,2.5,33.5,,doncilu01
2,Shai Gilgeous-Alexander,27,OKC,PG,33,33,33.2,11.0,19.6,0.563,2.1,4.9,0.420,9.0,14.7,0.610,0.615,8.0,9.0,0.886,0.5,4.2,4.7,6.4,1.6,0.7,1.9,2.0,32.1,,gilgesh01
3,Tyrese Maxey,25,PHI,PG,29,29,39.8,10.6,22.7,0.466,3.7,9.2,0.396,6.9,13.5,0.514,0.546,6.0,6.8,0.888,0.3,4.1,4.3,7.1,1.8,0.8,2.6,2.4,30.8,,maxeyty01
4,Donovan Mitchell,29,CLE,SG,32,32,33.8,10.3,20.9,0.494,3.9,10.0,0.389,6.4,10.9,0.590,0.587,5.1,6.0,0.849,0.8,3.8,4.6,5.5,1.5,0.3,3.2,2.6,29.7,,mitchdo01
5,Nikola Jokić,30,DEN,C,32,32,34.6,10.6,17.5,0.605,2.1,4.8,0.435,8.5,12.7,0.670,0.665,6.3,7.4,0.853,3.0,9.1,12.2,11.0,1.4,0.8,3.5,2.8,29.6,,jokicni01
6,Jaylen Brown,29,BOS,SF,30,30,33.8,10.8,21.4,0.505,2.0,5.5,0.370,8.8,15.9,0.552,0.553,5.8,7.4,0.776,1.2,5.1,6.3,5.0,1.2,0.5,3.6,3.0,29.5,,brownja02
7,Jalen Brunson,29,NYK,PG,30,30,35.5,10.4,21.8,0.476,3.1,8.1,0.387,7.3,13.7,0.529,0.548,5.5,6.5,0.845,0.7,2.6,3.3,6.6,0.8,0.1,2.1,2.5,29.4,,brunsja01
8,Anthony Edwards,24,MIN,SG,27,27,35.0,9.9,19.8,0.499,3.3,8.2,0.396,6.6,11.6,0.572,0.581,6.1,7.5,0.812,0.7,4.3,5.0,3.6,1.4,0.9,2.8,1.8,29.1,,edwaran01
9,Giannis Antetokounmpo,31,MIL,PF,20,20,28.7,11.1,17.3,0.639,0.6,1.4,0.393,10.5,15.9,0.660,0.655,6.3,9.8,0.641,3.2,6.8,10.0,5.8,0.9,0.9,3.3,2.8,28.9,,antetgi01
10,Stephen Curry,37,GSW,PG,25,25,32.0,9.3,19.9,0.468,4.8,12.1,0.394,4.6,7.8,0.582,0.587,5.3,5.7,0.923,0.5,3.4,4.0,4.3,1.2,0.5,3.1,2.1,28.7,,curryst01
11,Kawhi Leonard,34,LAC,SF,22,22,33.9,9.7,19.4,0.499,2.5,6.6,0.386,7.1,12.8,0.557,0.564,5.9,6.0,0.970,1.1,5.4,6.5,3.5,2.1,0.6,2.0,1.5,27.8,,leonaka01
12,Lauri Markkanen,28,UTA,PF,28,28,35.5,9.2,19.5,0.473,3.0,8.1,0.366,6.3,11.4,0.550,0.550,6.3,6.9,0.907,2.0,5.0,7.0,2.1,1.0,0.4,1.4,2.0,27.7,,markkla01
13,Austin Reaves,27,LAL,SG,23,22,35.3,8.2,16.2,0.507,2.7,7.4,0.365,5.5,8.8,0.626,0.590,7.5,8.6,0.873,0.7,4.5,5.2,6.3,1.0,0.2,3.3,2.3,26.6,,reaveau01
14,Cade Cunningham,24,DET,PG,30,30,35.7,9.4,20.1,0.468,2.0,6.2,0.330,7.4,13.9,0.529,0.518,5.7,6.9,0.821,1.1,5.1,6.2,9.7,1.5,0.7,3.9,3.4,26.5,,cunnica01
