Table 1
,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,Brandon Ingram,28,TOR,SF,35,35,1200,0.468,15.2,0.709,0.138,0.128,0.259,0.184,0.291,0.518,0.741,0.418,0.494,0.456,0.344,0.458,0.919,0.034,16,0.233,0.452,0,0,,ingrabr01
2,Deni Avdija,25,POR,SF,34,34,1195,0.466,13.3,0.612,0.262,0.246,0.075,0.030,0.388,0.538,0.673,0.428,0.476,0.412,0.353,0.368,0.844,0.025,14,0.087,0.526,0,0,,avdijde01
3,Scottie Barnes,24,TOR,PF,35,35,1194,0.505,10.7,0.771,0.316,0.250,0.152,0.052,0.229,0.548,0.707,0.423,0.443,0.481,0.361,0.580,0.930,0.100,47,0.202,0.292,0,0,,barnesc01
4,Trey Murphy III,25,NOP,SF,33,33,1168,0.492,15.8,0.514,0.242,0.167,0.081,0.025,0.486,0.598,0.795,0.420,0.462,0.333,0.379,0.698,0.854,0.116,54,0.081,0.579,0,0,,murphtr02
5,Mikal Bridges,29,NYK,SF,33,33,1164,0.524,14.9,0.556,0.224,0.144,0.146,0.041,0.444,0.610,0.783,0.593,0.433,0.353,0.418,0.619,0.974,0.046,18,0.396,0.472,0,0,,bridgmi01
6,Dyson Daniels,22,ATL,SG,34,34,1155,0.490,7.7,0.843,0.393,0.387,0.060,0.003,0.157,0.557,0.710,0.412,0.524,0.000,0.127,0.582,1.000,0.071,24,0.273,0.067,0,0,,daniedy01
7,Tyrese Maxey,25,PHI,PG,29,29,1155,0.466,14.9,0.593,0.238,0.206,0.080,0.068,0.407,0.514,0.650,0.419,0.434,0.422,0.396,0.383,0.660,0.018,11,0.071,0.421,0,0,,maxeyty01
8,Desmond Bane,27,ORL,SG,34,34,1147,0.444,12.9,0.681,0.217,0.295,0.095,0.074,0.319,0.492,0.635,0.449,0.460,0.282,0.343,0.537,0.724,0.002,1,0.195,0.303,0,0,,banede01
9,Julius Randle,31,MIN,PF,34,34,1146,0.484,12.1,0.695,0.282,0.222,0.128,0.062,0.305,0.550,0.687,0.475,0.500,0.303,0.333,0.448,0.833,0.049,24,0.247,0.325,0,0,,randlju01
10,Cooper Flagg,19,DAL,SF,33,33,1141,0.486,11.5,0.773,0.237,0.301,0.133,0.102,0.227,0.546,0.765,0.464,0.537,0.294,0.281,0.382,0.719,0.078,32,0.158,0.111,0,0,,flaggco01
11,Toumani Camara,25,POR,PF,34,34,1134,0.410,18.0,0.340,0.158,0.166,0.011,0.005,0.660,0.536,0.759,0.377,0.000,0.000,0.346,0.642,0.881,0.043,15,0.267,0.277,0,0,,camarto01
12,Jamal Murray,28,DEN,PG,32,32,1126,0.482,16.0,0.587,0.143,0.199,0.132,0.114,0.413,0.503,0.667,0.419,0.500,0.448,0.453,0.305,0.500,0.005,3,0.070,0.294,1,1,,murraja01
13,Pascal Siakam,31,IND,PF,33,33,1115,0.478,12.9,0.733,0.174,0.274,0.199,0.086,0.267,0.516,0.660,0.562,0.407,0.333,0.373,0.393,0.780,0.010,4,0.139,0.364,0,0,,siakapa01
14,Nikola Jokić,30,DEN,C,32,32,1106,0.605,11.6,0.725,0.238,0.343,0.100,0.045,0.275,0.670,0.782,0.635,0.536,0.640,0.435,0.544,0.776,0.029,14,0.039,0.667,0,0,,jokicni01
15,Amen Thompson,23,HOU,PG,30,30,1101,0.511,8.3,0.855,0.390,0.320,0.085,0.061,0.145,0.567,0.770,0.424,0.286,0.400,0.183,0.510,1.000,0.194,78,0.533,0.188,1,0,,thompam01
16,Keyonte George,22,UTA,PG,32,32,1100,0.455,16.0,0.579,0.076,0.282,0.117,0.104,0.421,0.513,0.756,0.520,0.413,0.429,0.374,0.488,0.718,0.030,16,0.132,0.400,0,0,,georgke01
17,Immanuel Quickley,26,TOR,PG,34,34,1097,0.431,17.6,0.472,0.115,0.181,0.140,0.036,0.528,0.512,0.667,0.450,0.500,0.375,0.359,0.411,0.821,0.007,3,0.115,0.222,0,0,,quickim01
18,Shai Gilgeous-Alexander,27,OKC,PG,33,33,1097,0.563,13.0,0.750,0.199,0.185,0.272,0.093,0.250,0.610,0.760,0.542,0.591,0.483,0.420,0.176,0.250,0.017,11,0.062,0.400,0,0,,gilgesh01
19,DeMar DeRozan,36,SAC,PF,33,33,1095,0.501,14.3,0.834,0.099,0.186,0.285,0.264,0.166,0.529,0.721,0.617,0.492,0.435,0.361,0.458,0.885,0.014,5,0.403,0.517,0,0,,derozde01
20,Jalen Johnson,24,ATL,SF,31,31,1095,0.529,11.1,0.742,0.281,0.292,0.127,0.042,0.258,0.583,0.788,0.454,0.470,0.455,0.373,0.520,0.820,0.085,43,0.097,0.308,0,0,,johnsja05
