"","V2","V4","Short2 Usage","2s Assisted","Short 2P%","2PA","Short2Usage_percentile","Short2Usage_ranking","Assisted2s_percentile","Assisted2s_ranking","Attempted2s_percentile","Attempted2s_ranking","Short2_FGPct_percentile","Short2_FGPct_ranking","Temp"
"1","A.J. Green","MIL",0.017,0.5,0.75,0.6,5,487,39,315,10,462,72,146,"Rate"
"2","A.J. Lawson","TOR",0.455,0.5,0.4,2.3,87,69,39,316,41,303,10,464,"Rate"
"3","AJ Johnson","WAS",0.238,0.667,0.2,1,57,222,68,163,18,422,6,483,"Rate"
"4","Aaron Gordon","DEN",0.305,0.574,0.83,7,68,162,50,257,80,103,89,58,"Rate"
"5","Aaron Holiday","HOU",0.063,0.333,0.5,1.8,10,465,18,423,32,348,15,436,"Rate"
"6","Aaron Nesmith","IND",0.166,0.84,0.448,5.1,39,315,91,46,70,152,11,458,"Rate"
"7","Aaron Wiggins","OKC",0.239,0.628,0.614,4,57,223,61,203,61,198,28,370,"Rate"
"8","Ace Bailey","UTA",0.142,0.718,0.725,5.2,30,358,76,124,71,148,63,191,"Rate"
"9","Adem Bona","PHI",0.741,0.5,0.625,2.1,97,14,38,317,39,315,32,351,"Rate"
"10","Adou Thiero","LAL",0.611,0.714,0.545,1.1,93,34,75,131,20,413,18,421,"Rate"
"11","Ajay Mitchell","OKC",0.203,0.333,0.691,7.4,46,280,18,424,82,91,54,239,"Rate"
"12","Al Horford","GSW",0.041,0.75,0.5,1.6,6,481,80,102,28,371,15,437,"Rate"
"13","Alex Caruso","OKC",0.186,0.759,0.75,2,43,292,82,95,38,320,71,147,"Rate"
"14","Alex Sarr","WAS",0.273,0.688,0.767,11.2,64,185,71,147,94,31,76,124,"Rate"
"15","Alperen Şengün","HOU",0.251,0.405,0.685,14.6,60,206,25,383,99,4,53,240,"Rate"
"16","Amen Thompson","HOU",0.39,0.51,0.77,11.8,81,100,40,308,96,23,76,125,"Rate"
"17","Amir Coffey","MIL",0.154,0.375,1,0.6,33,346,23,396,10,463,100,1,"Rate"
"18","Andre Drummond","PHI",0.593,0.478,0.604,4.3,93,38,33,342,63,189,27,376,"Rate"
"19","Andre Jackson Jr.","MIL",0.125,1,1,0.6,23,395,100,2,10,464,100,2,"Rate"
"20","Andrew Nembhard","IND",0.144,0.275,0.635,8.8,30,359,12,454,88,61,35,333,"Rate"
"21","Andrew Wiggins","MIA",0.242,0.455,0.677,8.6,56,224,30,358,87,66,49,261,"Rate"
"22","Anfernee Simons","BOS",0.064,0.176,0.636,4.6,9,466,8,474,66,173,35,334,"Rate"
"23","Anthony Black","ORL",0.286,0.557,0.729,7.9,66,173,48,268,85,78,67,169,"Rate"
"24","Anthony Davis","DAL",0.354,0.543,0.731,14.5,76,125,45,282,99,5,67,170,"Rate"
"25","Anthony Edwards","MIN",0.207,0.324,0.766,11.6,47,271,16,434,95,26,75,126,"Rate"
"26","Anthony Gill","WAS",0.7,0.6,0.571,0.6,96,18,55,231,10,465,22,400,"Rate"
"27","Antonio Reeves","CHO",0.188,0.667,0.667,1,43,293,68,164,18,423,46,279,"Rate"
"28","Ariel Hukporti","NYK",0.652,0.833,0.8,1.1,94,29,91,48,19,414,84,81,"Rate"
"29","Asa Newell","ATL",0.365,0.625,0.743,2,77,120,59,213,38,321,69,157,"Rate"
"30","Ausar Thompson","DET",0.405,0.554,0.645,8.5,82,90,46,277,87,68,35,335,"Rate"
"31","Austin Reaves","LAL",0.158,0.307,0.831,8.8,35,332,15,439,88,62,89,59,"Rate"
"32","Ayo Dosunmu","CHI",0.415,0.494,0.602,6.1,84,83,34,339,76,124,27,377,"Rate"
"33","Bam Adebayo","MIA",0.162,0.661,0.679,9.5,35,333,64,183,90,52,49,262,"Rate"
"34","Baylor Scheierman","BOS",0.088,0.778,0.8,0.4,15,435,84,80,6,484,84,82,"Rate"
"35","Ben Saraf","BRK",0.194,0.231,0.5,2.4,43,294,9,467,43,291,15,438,"Rate"
"36","Ben Sheppard","IND",0.175,0.767,0.667,2.7,39,316,83,89,47,270,46,280,"Rate"
"37","Bennedict Mathurin","IND",0.183,0.525,0.596,7.3,41,305,42,297,82,92,26,378,"Rate"
"38","Bilal Coulibaly","WAS",0.269,0.39,0.714,4.8,64,186,24,390,68,166,61,202,"Rate"
"39","Bismack Biyombo","SAS",0.833,0.75,0.8,0.6,99,5,80,103,9,466,84,83,"Rate"
"40","Blake Wesley","POR",0.353,0.167,0.667,4,75,126,7,477,61,199,45,281,"Rate"
"41","Bobby Portis","MIL",0.116,0.679,0.69,6.6,23,396,70,154,79,109,53,241,"Rate"
"42","Bobi Klintman","DET",0.143,0.75,0.333,1.7,30,360,80,104,30,358,8,473,"Rate"
"43","Bogdan Bogdanović","LAC",0.111,0.25,0.615,2.8,19,416,11,460,48,265,32,352,"Rate"
"44","Bones Hyland","MIN",0.217,0.407,0.692,1.7,51,254,25,384,30,359,53,242,"Rate"
"45","Bradley Beal","LAC",0.125,0.727,0.5,4.8,23,397,77,117,68,167,15,439,"Rate"
"46","Branden Carlson","OKC",0.382,0.824,0.824,1.9,79,107,89,54,35,335,86,71,"Rate"
"47","Brandin Podziemski","GSW",0.137,0.578,0.727,4.6,30,361,51,252,66,174,67,171,"Rate"
"48","Brandon Clarke","MEM",0.556,0.667,0.4,4.5,92,41,68,165,65,180,10,465,"Rate"
"49","Brandon Ingram","TOR",0.138,0.458,0.741,12.5,30,362,30,359,97,14,69,158,"Rate"
"50","Brandon Miller","CHO",0.15,0.507,0.75,9.2,32,347,40,309,89,57,71,148,"Rate"
"51","Brandon Williams","DAL",0.305,0.301,0.671,6.6,68,163,13,445,79,110,45,282,"Rate"
"52","Brice Sensabaugh","UTA",0.085,0.837,0.6,2.9,15,436,91,47,50,255,26,379,"Rate"
"53","Bronny James","LAL",0.086,0.833,0.667,0.9,15,437,90,49,15,435,45,283,"Rate"
"54","Brook Lopez","LAC",0.034,0.684,0.4,1.9,6,483,70,155,35,336,9,466,"Rate"
"55","Brooks Barnhizer","OKC",0.385,0.636,0.7,1.1,79,108,62,195,19,415,58,218,"Rate"
"56","Bruce Brown","DEN",0.353,0.63,0.778,4.6,75,127,60,204,66,175,79,109,"Rate"
"57","Bryce McGowens","NOP",0.381,0.457,0.55,3.4,79,109,30,360,55,229,19,418,"Rate"
"58","Bub Carrington","WAS",0.066,0.415,0.353,3.6,11,455,26,379,57,219,8,472,"Rate"
"59","Buddy Hield","GSW",0.191,0.628,0.692,2.3,43,295,60,205,41,304,53,243,"Rate"
"60","CJ McCollum","WAS",0.114,0.323,0.636,8,19,417,15,435,85,76,35,336,"Rate"
"61","Cade Cunningham","DET",0.181,0.244,0.661,13.9,40,306,10,464,99,6,40,309,"Rate"
"62","Caleb Houstan","ATL",0.077,1,1,0.4,13,446,99,3,6,485,99,3,"Rate"
"63","Caleb Love","POR",0.125,0.386,0.733,3.7,23,398,24,391,58,215,67,172,"Rate"
"64","Caleb Martin","DAL",0.313,0.6,0.733,1.3,70,156,55,232,24,390,66,173,"Rate"
"65","Cam Christie","LAC",0.203,0.615,0.692,1.7,45,281,58,214,30,360,53,244,"Rate"
"66","Cam Spencer","MEM",0.063,0.438,0.563,2.9,9,467,28,372,50,256,20,411,"Rate"
"67","Cam Thomas","BRK",0.126,0.383,0.65,10.3,25,384,23,397,92,41,38,320,"Rate"
"68","Cam Whitmore","WAS",0.361,0.59,0.77,5.4,76,121,53,244,73,141,75,127,"Rate"
"69","Cameron Johnson","DEN",0.224,0.712,0.727,4.3,50,255,74,132,63,190,66,174,"Rate"
"70","Caris LeVert","DET",0.144,0.488,0.8,3.4,29,363,34,340,55,230,84,84,"Rate"
"71","Carter Bryant","SAS",0.306,0.364,0.474,1.2,69,157,20,413,21,406,11,455,"Rate"
"72","Cason Wallace","OKC",0.217,0.471,0.686,3.1,50,256,32,349,53,244,52,245,"Rate"
"73","Cedric Coward","MEM",0.249,0.496,0.702,6.1,60,207,38,318,76,125,57,219,"Rate"
"74","Charles Bassey","MEM",0.375,0.667,0.667,4,79,110,68,166,61,200,45,284,"Rate"
"75","Chet Holmgren","OKC",0.291,0.658,0.833,8.4,66,174,64,184,86,72,88,60,"Rate"
"76","Chris Boucher","BOS",0.273,0.667,0.833,1.3,64,187,68,167,24,391,88,61,"Rate"
"77","Chris Livingston","CLE",0.429,0.75,1,1.3,85,78,80,105,24,392,99,4,"Rate"
"78","Chris Paul","LAC",0.018,0.125,1,1.6,5,488,6,481,28,372,99,5,"Rate"
"79","Chris Youngblood","OKC",0.028,1,1,0.2,6,484,99,4,3,497,99,6,"Rate"
"80","Christian Braun","DEN",0.433,0.762,0.667,6.3,85,79,81,96,77,118,45,285,"Rate"
"81","Christian Koloko","2TM",0.455,1,0.8,1.6,86,70,99,5,27,373,83,85,"Rate"
"82","Christian Koloko","MEM",0.455,1,0.8,2.2,86,71,99,6,39,311,83,86,"Rate"
"83","Clint Capela","HOU",0.702,0.565,0.627,3,96,19,48,269,52,249,33,344,"Rate"
"84","Coby White","CHI",0.289,0.323,0.714,6.9,66,175,15,436,80,104,61,203,"Rate"
"85","Cody Martin","IND",0.1,0.5,1,1.3,18,424,38,319,24,393,99,7,"Rate"
"86","Cody Williams","UTA",0.188,0.667,0.769,2.1,42,296,67,168,39,316,75,128,"Rate"
"87","Cole Anthony","MIL",0.139,0.169,0.625,4.5,29,364,7,478,65,181,31,353,"Rate"
"88","Collin Gillespie","PHO",0.074,0.333,0.481,4.1,11,456,17,425,62,195,12,454,"Rate"
"89","Collin Murray-Boyles","TOR",0.527,0.762,0.671,4,91,44,81,97,61,201,44,286,"Rate"
"90","Collin Sexton","CHO",0.257,0.368,0.696,7.3,62,195,21,405,82,93,57,220,"Rate"
"91","Cooper Flagg","DAL",0.237,0.382,0.765,11.8,56,225,23,398,95,24,74,132,"Rate"
"92","Corey Kispert","WAS",0.189,0.778,0.81,2.2,42,297,84,81,39,312,86,74,"Rate"
"93","Craig Porter Jr.","CLE",0.299,0.512,0.714,2.5,68,164,40,310,45,281,60,204,"Rate"
"94","Curtis Jones","DEN",0.125,0.5,1,1,22,399,38,320,17,425,98,8,"Rate"
"95","D'Angelo Russell","DAL",0.086,0.298,0.632,4.5,15,438,13,446,65,182,33,345,"Rate"
"96","DaRon Holmes","DEN",0.167,1,1,0.5,38,317,99,7,8,475,98,9,"Rate"
"97","Daeqwon Plowden","SAC",0.2,0,1,2,45,282,6,485,37,322,98,10,"Rate"
"98","Dalen Terry","CHI",0.469,0.556,0.652,1.7,87,66,47,270,30,361,38,321,"Rate"
"99","Dalton Knecht","LAL",0.161,0.688,0.789,2,35,334,71,148,37,323,81,100,"Rate"
"100","Daniel Gafford","DAL",0.614,0.667,0.757,5,93,35,67,169,70,156,74,133,"Rate"
"101","Daniss Jenkins","DET",0.139,0.286,0.652,3.9,29,365,12,450,60,208,37,322,"Rate"
"102","Danny Wolf","BRK",0.243,0.609,0.538,3.6,56,226,57,221,57,220,18,422,"Rate"
"103","Darius Garland","CLE",0.157,0.313,0.571,7.7,35,335,14,440,83,85,22,401,"Rate"
"104","David Jones García","SAS",0.52,0.1,0.385,2,91,45,6,482,37,324,9,470,"Rate"
"105","Davion Mitchell","MIA",0.248,0.365,0.533,5,60,208,19,414,69,157,17,429,"Rate"
"106","Day'Ron Sharpe","BRK",0.52,0.529,0.831,3.5,91,46,43,292,56,225,88,62,"Rate"
"107","De'Aaron Fox","SAS",0.187,0.256,0.699,10.2,42,298,11,457,92,43,57,221,"Rate"
"108","De'Andre Hunter","CLE",0.144,0.602,0.68,5.8,29,366,55,233,74,135,49,263,"Rate"
"109","De'Anthony Melton","GSW",0.105,0.368,1,4,17,425,21,406,61,202,98,11,"Rate"
"110","DeAndre Jordan","NOP",0.8,0.5,1,2.5,98,9,38,321,45,282,98,12,"Rate"
"111","DeMar DeRozan","SAC",0.099,0.458,0.721,11,17,426,30,361,94,33,63,192,"Rate"
"112","Dean Wade","CLE",0.204,0.808,0.618,1.3,45,283,88,61,23,394,31,354,"Rate"
"113","Deandre Ayton","LAL",0.424,0.816,0.838,9.7,84,84,89,55,91,48,89,54,"Rate"
"114","Deni Avdija","POR",0.262,0.368,0.673,10.1,62,196,21,407,91,44,44,287,"Rate"
"115","Dennis Schröder","SAC",0.092,0.182,0.5,6.7,15,439,8,475,79,108,14,440,"Rate"
"116","Dereck Lively II","DAL",0.778,0.727,0.643,2.6,98,12,77,118,46,276,34,337,"Rate"
"117","Derik Queen","NOP",0.403,0.375,0.674,9,82,92,22,399,89,59,44,288,"Rate"
"118","Derrick Jones Jr.","LAC",0.248,0.722,0.92,3.5,59,209,76,125,56,226,92,42,"Rate"
"119","Derrick White","BOS",0.065,0.479,0.688,6.4,9,468,33,343,78,114,52,246,"Rate"
"120","Desmond Bane","ORL",0.217,0.537,0.635,10.6,50,257,45,283,92,39,34,338,"Rate"
"121","Devin Booker","PHO",0.116,0.347,0.734,12.8,22,400,19,418,98,11,66,175,"Rate"
"122","Devin Carter","SAC",0.111,0.286,1,1.6,19,418,12,451,27,374,97,13,"Rate"
"123","Devin Vassell","SAS",0.073,0.59,0.621,5.4,11,457,52,245,72,142,31,355,"Rate"
"124","Dillon Brooks","PHO",0.103,0.297,0.771,10.1,17,427,13,447,91,45,75,129,"Rate"
"125","Domantas Sabonis","SAC",0.4,0.714,0.672,11.4,82,93,74,133,95,28,44,289,"Rate"
"126","Dominick Barlow","PHI",0.493,0.692,0.731,4.9,88,61,71,149,69,160,66,176,"Rate"
"127","Donovan Clingan","POR",0.429,0.566,0.69,5.2,84,80,50,258,71,149,52,247,"Rate"
"128","Donovan Mitchell","CLE",0.19,0.209,0.669,10.9,42,299,9,469,93,35,44,290,"Rate"
"129","Donte DiVincenzo","MIN",0.091,0.622,0.576,2.6,14,440,58,215,46,277,23,394,"Rate"
"130","Drake Powell","BRK",0.144,0.464,0.846,2.3,29,367,30,362,41,305,90,52,"Rate"
"131","Draymond Green","GSW",0.243,0.826,0.64,3,56,227,90,50,51,250,34,339,"Rate"
"132","Drew Eubanks","SAC",0.368,0.862,0.829,3.6,77,116,92,43,57,221,88,63,"Rate"
"133","Drew Peterson","CHO",0.188,0.5,0.667,0.7,42,300,37,322,11,456,43,291,"Rate"
"134","Dru Smith","MIA",0.226,0.449,0.675,3,52,245,28,369,51,251,49,264,"Rate"
"135","Duncan Robinson","DET",0.075,0.677,0.714,1.7,11,458,70,156,30,362,60,205,"Rate"
"136","Duop Reath","POR",0.183,0.875,0.545,0.7,40,307,93,38,11,457,18,423,"Rate"
"137","Dwight Powell","DAL",0.71,0.947,0.591,1.3,97,17,94,30,23,395,25,388,"Rate"
"138","Dylan Cardwell","SAC",0.391,0.917,0.667,2.4,80,101,94,33,43,292,43,292,"Rate"
"139","Dylan Harper","SAS",0.426,0.311,0.653,7.5,84,81,14,441,83,88,37,323,"Rate"
"140","Dyson Daniels","ATL",0.393,0.582,0.71,8.7,80,102,51,253,87,65,60,206,"Rate"
"141","E.J. Liddell","BRK",0.167,0.333,1,0.6,38,318,17,426,9,468,97,14,"Rate"
"142","Egor Dёmin","BRK",0.118,0.441,0.552,2.7,22,401,27,373,47,271,18,419,"Rate"
"143","Elijah Harkless","UTA",0.182,0,0.5,0.6,40,308,5,486,9,469,14,441,"Rate"
"144","Emanuel Miller","CHI",0.231,1,0.333,1.4,52,246,98,9,25,384,8,474,"Rate"
"145","Eric Gordon","PHI",0.238,0.75,0.8,1.2,56,228,79,106,21,407,83,87,"Rate"
"146","Ethan Thompson","IND",0.078,0.8,0.8,1.5,13,447,87,65,26,379,83,88,"Rate"
"147","Evan Mobley","CLE",0.359,0.648,0.801,9.6,76,122,63,188,90,50,83,89,"Rate"
"148","Franz Wagner","ORL",0.262,0.477,0.72,11.8,62,197,33,344,95,25,62,193,"Rate"
"149","GG Jackson II","MEM",0.237,0.684,0.571,2.5,55,229,69,157,45,283,22,402,"Rate"
"150","Gabe Vincent","LAL",0.017,0.5,1,0.9,5,489,37,323,15,436,97,15,"Rate"
"151","Garrison Mathews","IND",0.058,1,0.333,0.4,9,469,98,10,5,487,8,475,"Rate"
"152","Gary Harris","MIL",0.135,0.692,0.857,0.9,28,368,71,150,15,437,90,49,"Rate"
"153","Gary Payton II","GSW",0.474,0.8,0.745,2.5,87,67,87,66,45,284,69,159,"Rate"
"154","Gary Trent Jr.","MIL",0.049,0.559,0.615,2.5,8,475,47,271,45,285,31,356,"Rate"
"155","Giannis Antetokounmpo","MIL",0.662,0.481,0.795,15.9,95,27,33,345,100,1,82,90,"Rate"
"156","Goga Bitadze","ORL",0.68,0.671,0.814,3.2,96,21,67,170,54,239,85,75,"Rate"
"157","Gradey Dick","TOR",0.215,0.902,0.667,2.3,50,258,93,35,40,306,43,293,"Rate"
"158","Grayson Allen","PHO",0.116,0.548,0.704,4.7,22,402,46,278,67,168,57,222,"Rate"
"159","Guerschon Yabusele","NYK",0.208,0.714,0.688,0.9,47,272,74,134,15,438,52,248,"Rate"
"160","Gui Santos","GSW",0.235,0.875,0.688,1,52,247,92,39,17,426,52,249,"Rate"
"161","Harrison Barnes","SAS",0.154,0.456,0.783,3.7,32,348,29,363,58,216,79,110,"Rate"
"162","Harrison Ingram","SAS",0.333,0,1,0.7,73,140,5,487,11,458,97,16,"Rate"
"163","Herbert Jones","NOP",0.284,0.542,0.582,4.7,65,178,45,284,67,169,23,395,"Rate"
"164","Hugo González","BOS",0.33,0.571,0.774,2.1,73,141,50,259,38,317,75,130,"Rate"
"165","Hunter Sallis","PHI",0.4,0.333,0.5,0.7,82,94,17,427,11,459,14,442,"Rate"
"166","Hunter Tyson","DEN",0.143,0.333,0.667,0.8,28,369,17,428,13,448,43,294,"Rate"
"167","Immanuel Quickley","TOR",0.115,0.411,0.667,6.1,22,403,25,385,75,126,43,295,"Rate"
"168","Isaac Jones","2TM",0.5,0.5,1,0.5,90,53,37,324,7,476,97,17,"Rate"
"169","Isaac Jones","DET",0.5,1,1,1,89,54,98,12,17,427,96,18,"Rate"
"170","Isaac Jones","SAC",0.5,0,1,0.3,89,55,5,488,4,492,96,19,"Rate"
"171","Isaac Okoro","CHI",0.467,0.714,0.658,3.8,87,68,74,135,59,210,40,310,"Rate"
"172","Isaiah Collier","UTA",0.199,0.393,0.778,4.5,45,284,24,392,64,183,78,111,"Rate"
"173","Isaiah Hartenstein","OKC",0.494,0.819,0.798,7.3,88,62,89,56,82,94,82,91,"Rate"
"174","Isaiah Jackson","IND",0.655,0.614,0.667,4.9,95,28,57,222,69,161,42,296,"Rate"
"175","Isaiah Joe","OKC",0.071,0.95,0.692,1.3,11,459,94,31,23,396,51,250,"Rate"
"176","Isaiah Livers","PHO",0.125,0.667,0.75,0.4,21,404,67,171,5,488,71,149,"Rate"
"177","Isaiah Stewart","DET",0.352,0.705,0.727,4.9,75,128,72,142,68,162,66,177,"Rate"
"178","Ivica Zubac","LAC",0.462,0.658,0.729,11.1,86,72,64,185,94,32,65,178,"Rate"
"179","JD Davison","HOU",0.05,0.6,1,0.7,7,476,54,234,11,460,96,20,"Rate"
"180","Ja Morant","MEM",0.221,0.242,0.656,11.9,50,259,10,465,96,22,39,311,"Rate"
"181","Ja'Kobe Walter","TOR",0.219,0.667,0.588,1.7,49,260,67,172,29,363,24,389,"Rate"
"182","Jabari Smith Jr.","HOU",0.167,0.612,0.7,6.3,38,319,57,223,77,119,57,223,"Rate"
"183","Jabari Walker","PHI",0.423,0.4,0.61,1.9,83,85,25,387,34,337,28,371,"Rate"
"184","Jacob Toppin","ATL",0.5,0.5,1,1.2,89,56,37,325,21,408,96,21,"Rate"
"185","Jaden Hardy","DAL",0.113,0.524,0.538,1.9,18,419,42,298,34,338,18,424,"Rate"
"186","Jaden Ivey","DET",0.174,0.719,0.5,3.4,38,320,75,126,55,231,14,443,"Rate"
"187","Jaden McDaniels","MIN",0.243,0.609,0.705,7.9,55,230,56,224,85,79,56,224,"Rate"
"188","Jae'Sean Tate","HOU",0.262,0.588,0.727,1.5,61,198,52,246,26,380,65,179,"Rate"
"189","Jahmir Young","MIA",0.182,0,0,1.2,40,309,5,489,20,409,5,486,"Rate"
"190","Jaime Jaquez Jr.","MIA",0.324,0.459,0.738,10.8,70,152,29,364,93,37,69,160,"Rate"
"191","Jake LaRavia","LAL",0.274,0.638,0.733,4,63,188,62,196,61,203,65,180,"Rate"
"192","Jakob Poeltl","TOR",0.622,0.807,0.81,6,94,32,88,62,75,128,85,76,"Rate"
"193","Jalen Brunson","NYK",0.134,0.239,0.693,13.7,25,385,9,466,98,8,51,251,"Rate"
"194","Jalen Duren","DET",0.483,0.61,0.704,11,88,64,56,225,93,34,56,225,"Rate"
"195","Jalen Green","PHO",0.174,0,0.25,4.5,38,321,5,490,64,184,7,480,"Rate"
"196","Jalen Johnson","ATL",0.281,0.52,0.788,12.5,65,179,42,299,97,15,80,101,"Rate"
"197","Jalen Pickett","DEN",0.138,0.5,0.625,1.3,28,370,37,326,23,397,31,357,"Rate"
"198","Jalen Smith","CHI",0.337,0.769,0.708,3.1,74,135,82,90,52,245,60,207,"Rate"
"199","Jalen Suggs","ORL",0.167,0.338,0.81,5.4,37,322,18,421,72,143,85,77,"Rate"
